"","barcode","Genotype","line","compartment","plant_height","branch_number","pod_weight_plant","main","pods_plant","pods_branch","weight_pod","first_flowers_DAS","peak_flowers_DAS","flowering_days_to_peak","total_flowering_days","pixel.day_peak","pixel.days_to_peak","total_pixel.days","mean_pixel.days_to_peak","R01_raceme_start","R02_mean_rate","R03_max_rate","R04_DAS_of_max_rate","R05_main_ext_period","R06_50ht_period","R07_75ht_period","R08_50ht_rate","R09_75ht_rate","R10_max_height","R11_max_height_DAS","R12_extension_days_to_max","seed wt_10p_g","seeds_per_pod","TGW_g","BBCH51","BBCH61"
"53","BR024-09215","J1","L2","C6",158,15,59.8,43,890,56,0.067191011,46,61,16,31,38151,220425,472414.5,13776.5625,42.59163194,55.53097599,142.9801416,44.59190972,22.97276389,9.240575489,14.81865104,80.35213834,72.59432704,1633,101.6359606,59.0443287,2764,13,2.11,39,50
"54","BR024-09216","J1","L2","C6",145,16,50.4,52,1034,61,0.048742747,47,61,15,29,44926,218602,482968,14573.46667,43.60905093,55.74598396,125.0014468,45.60925926,19.54759648,8.456305276,14.76943782,72.90417976,61.76606118,1483,76.60873843,32.9996875,2742,13,2.16,39,50
"55","BR024-09217","J1","L4","C6",140,11,53.6,NA,NA,NA,NA,46,61,16,40,37503,203832,473975,12739.5,42.72409722,53.3276155,127,46.72403935,21.02475405,10.30368257,15.67800678,63.08424155,60.24362748,1478,74.77864583,32.05454861,2843,13,2.24,39,48
"56","BR024-09218","J1","L7","C6",142,11,52.6,NA,NA,NA,NA,48,62,15,30,32290,192036,368276,12802.4,43.8621875,64.99604082,202.4545855,47.86049769,18.04879167,7.540402077,12.4166985,90.9102715,79.75147342,1519,74.87517361,31.01298611,2823,13,2.21,40,48
"57","BR024-10111","J2","L1","C5",170,15,41.1,NA,NA,NA,NA,59,77,19,47,35009,276160,481314.5,14534.73684,52.01565972,58.58968936,139.0032177,55.01564815,23.48706769,8.874958044,16.59145657,87.49337137,69.38812124,1799,89.01565972,37,1861,10,1.88,50,63
"58","BR024-10112","J2","L2","C5",158,15,47.3,NA,NA,NA,NA,57,72,16,34,35441,221685,462375.5,13855.3125,50.09584491,60.10760186,134.0077551,53.09582176,21.30678917,7.828263527,14.83497679,93.9544252,72.54814181,1663,89.09618056,39.00033565,1874,13,1.49,47,57
"59","BR024-10113","J2","L4","C5",164,15,43,49,1433,90,0.030006978,57,75,19,41,33707,278815,480125.5,14674.47368,50.20252315,57.72008472,133.9906951,53.20255787,22.82047933,8.325006366,15.32962687,92.01194165,72.44142402,1678,88.2025,37.99997685,1656,11,1.47,48,60
"60","BR024-10114","J2","L5","C5",179,14,37.1,42,1249,83,0.029703763,60,76,17,45,35706,235591,570181.5,13858.29412,53.29415509,51.26514785,131.9770873,55.29412037,28.36429936,10.61466511,18.90398019,77.48713609,64.39120165,1879,104.2939352,50.99978009,1843,11,1.62,50,64
"61","BR024-10215","J2","L2","C6",163,16,40.2,37,1309,77,0.030710466,56,72,17,38,30555,244740,469375,14396.47059,50.58949074,65.86516761,150,53.58929398,18.04595726,6.058735703,12.65081073,112.0695857,78.84870157,1574,87.58960648,37.00011574,1551,10,1.6,48,59
"62","BR024-10216","J2","L3","C6",154,16,46,NA,NA,NA,NA,56,67,12,32,35215,146165,423557.5,12180.41667,49.64596065,56.96423199,143.9916671,52.64601852,21.94183887,7.016118578,14.31075977,101.1242886,73.17920341,1651,89.64607639,40.00011574,2017,12,1.64,47,57
"63","BR024-10217","J2","L4","C6",189,16,38.2,38,1174,69,0.03253833,58,74,17,47,37644,284510,549447,16735.88235,51.7187037,55.92868366,147.9828724,54.71871528,27.23110755,10.15009838,18.5135961,86.20606099,69.13837773,1920,89.71887731,38.00017361,1520,9,1.62,50,62
"64","BR024-10218","J2","L7","C6",148,15,40.2,NA,NA,NA,NA,55,74,20,33,27181,291632.5,412257.5,14581.625,49.88707176,56.6381322,156.0632201,52.88725694,20.78281812,5.904096918,13.43695974,112.7183394,73.32387825,1579,91.85614583,41.96907407,1862,12,1.62,46,59
"65","BR024-11111","J3","L1","C5",172,8,43.2,58,483,54,0.089440994,48,61,14,58,33948,224106,365702,16007.57143,41.01680556,74.15872518,171.9980093,44.0168287,17.04182477,6.86201349,12.49237172,100.1163873,83.85117121,1742,67.01675926,25.9999537,5884,15,3.82,37,46
"66","BR024-11112","J3","L3","C5",180,9,44.6,43,491,49,0.090835031,48,61,14,31,42234,229707,440156,16407.64286,41.1662037,79.61905759,177.0409817,45.16645833,18.1928805,8.298352141,14.16251217,100.562134,86.01934355,1835,67.16612269,25.99991898,3150,8,3.75,38,50
"67","BR024-11113","J3","L4","C5",178,8,43.3,NA,NA,NA,NA,47,62,16,33,40733,272143,472763,17008.9375,41.22909722,74.35316596,141.0359119,44.22905093,19.04021143,7.142880942,13.72232885,111.2296294,86.19163797,1853,69.2287963,27.99969907,3952,10,3.91,37,49
"68","BR024-11114","J3","L7","C5",159,7,42.4,NA,NA,NA,NA,48,61,14,30,37284,206754,401124.5,14768.14286,42.37782407,74.71642849,211.9656537,46.37866898,17.83945013,6.80651649,13.57420383,111.1434904,82.27001851,1741,79.37771991,36.99989583,3525,9,3.92,38,50
"69","BR024-11215","J3","L2","C6",174,8,41,32,508,56,0.080708661,48,61,14,29,40785,206316,376403,14736.85714,43.59512731,81.68244201,170.0078707,46.59525463,16.180956,6.816531829,11.33465851,105.1121036,96.58429489,1813,75.59508102,31.9999537,4640,15,3.18,40,50
"70","BR024-11216","J3","L2","C6",169,10,42.5,41,554,50,0.076714801,48,60,13,27,40491,222640,381770,17126.15385,42.61,76.91965842,233,45.61039352,16.31442502,6.720012653,11.92539829,100.3718348,86.97822705,1751,99.62436343,57.01436343,4137,15,2.81,38,50
"71","BR024-11217","J3","L4","C6",172,7,44.5,NA,NA,NA,NA,46,57,12,31,38369,169508,396795.5,14125.66667,40.71672454,80.03268688,171.0059377,44.71678241,18.03388161,8.05003125,13.16431755,100.9312852,91.66825361,1877,102.7166088,61.99988426,4811,15,3.12,38,50
"72","BR024-11218","J3","L7","C6",160,8,44.3,NA,NA,NA,NA,46,59,14,27,38105,219354,351393.5,15668.14286,41.8762037,78.587098,205.9404108,44.87637731,15.45928061,5.949247685,11.53014313,110.0139101,87.14115593,1701,71.88800926,30.01180556,4408,16,2.84,37,46
"73","BR024-12111","N5","L6","C5",115,8,53.9,46,505,56,0.106732673,46,58,13,43,40548,221513,511398,17039.46154,42.32709491,20.79198457,95.96889897,44.32744213,49.02369932,10.76821036,26.74700605,53.16575187,31.84468566,1417,95.3277662,53.0006713,6644,14,4.65,35,46
"74","BR024-12112","N5","L2","C5",112,6,52.1,NA,NA,NA,NA,47,58,12,49,31736,173068,412063,14422.33333,43.10539352,29.06312565,105.015801,45.10553241,29.19162963,6.224735243,15.97995394,76.79041459,44.39937705,1226,92.10547454,49.00008102,5563,11,4.92,35,46
"75","BR024-12113","N5","L5","C5",113,10,50.7,37,482,44,0.105186722,47,59,13,43,35985,206816,451138,15908.92308,43.27320602,27.78056327,109.0012616,45.27318287,29.67182458,5.49099568,15.62495081,84.04668786,44.04813867,1207,89.27332176,46.00011574,5161,10,5.16,35,47
