plant_id,genotype_name,R01_raceme_start,R02_mean_rate,R03_max_rate,R04_DAS_of_max_rate,R05_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max
BR024-12217,PH12,43.70962963,16.11640537,96.99326436,45.70962963,46.37510553,6.181594066,12.84986574,68.10541028,48.63864048,1116,95.70952546,51.99989583
BR024-12218,PH12,41.78405093,29.48850759,8.997188379,54.78280093,27.52258647,5.936802662,16.02532651,76.47213927,42.27682971,1194,75.78353009,33.99947917
BR024-13111,PH13,51.0178588,41.65524445,88.00305566,53.01783565,21.74996238,8.804887364,15.76390866,57.92237639,48.05280316,1290,82.01788194,31.00002315
BR024-13112,PH13,49.0991088,45.48628534,92.00212968,51.09915509,17.54594806,6.170728114,12.39165104,74.3024148,54.12918728,1149,79.09944444,30.00033565
BR024-13113,PH13,51.20472222,48.50295128,79.99444483,55.20466435,22.6501681,8.854247685,16.0539527,70.58758939,57.36904905,1484,85.20702546,34.00230324
BR024-13114,PH13,51.29739583,31.45443197,93.98585861,53.29747685,23.1922802,10.53576472,16.80993819,39.81675857,36.48139529,1075,85.29753472,34.00013889
BR024-13215,PH13,51.51407407,46.47223169,99.01145966,54.51409722,18.804778,7.081427918,13.29469256,69.68933466,55.00315231,1251,81.51418981,30.00011574
BR024-13216,PH13,49.65634259,39.2166556,72.01166856,49.65634259,19.72121254,5.528374607,11.2895745,78.68497179,57.26522288,1146,75.65659722,26.00025463
BR024-13217,PH13,48.71125,50.63698732,89.01545407,52.71082176,18.69976968,6.798472072,12.94835044,79.79734185,61.41708967,1311,78.71133102,30.00008102
BR024-13218,PH13,47.8708912,46.727539,95.0407003,48.87046296,20.5574704,8.097356312,14.65350566,69.52886576,55.37923954,1294,77.87164352,30.00075231
BR024-14111,PH14 ,51.01895833,42.62125215,79.99444483,54.01900463,28.16669946,11.39741735,20.55146182,60.23294392,49.03544131,1585,95.01908565,44.00012731
BR024-14112,PH14 ,52.1096875,33.69595711,70,54.10961806,25.13654672,9.314175595,17.78261171,52.28589423,40.03911301,1200,89.11,37.0003125
BR024-14113,PH14 ,51.27876157,37.3577045,79.99074181,53.27884259,27.15637948,11.23179807,19.95542297,51.68362146,42.68263325,1385,92.27892361,41.00016204
BR024-14114,PH14 ,53.38171296,36.97744482,72.00166671,55.38133102,23.73068243,10.39055827,17.50888476,46.91759455,41.76451043,1275,89.38168981,35.99997685
BR024-14215,PH14 ,53.52569444,27.99109911,75.00868156,54.5255787,37.4047477,11.17140179,21.55078115,53.26099727,40.7177816,1430,101.5825347,48.05684028
BR024-14216,PH14 ,52.65090278,30.96932852,72.02250703,53.65059028,22.28333752,7.619982407,15.74987269,49.67203069,36.39711961,1079,86.65078704,33.99988426
BR024-14217,PH14 ,54.71982639,28.45489317,69.9910891,54.71982639,25.34186285,8.203741641,16.57252857,46.99075335,35.91787441,1139,100.7198264,46
BR024-14218,PH14 ,54.87138889,25.11894067,67.003102,54.87138889,24.65072106,7.539748932,16.25456887,42.97225318,31.28351199,1038,103.8721412,49.00075231
BR024-15111,PH15,70.02055556,30.51688153,58,70.02055556,22.63337423,9.267461913,15.21251577,40.73391437,37.68278756,1083,102.0205787,32.00002315
BR024-15112,PH15,43.09480324,33.36416497,76.98930704,46.09505787,22.57811639,6.261254472,11.59379232,67.47849044,54.27473451,1127,77.09498843,34.00018519
