barcode,code,code genotype long,line,compartment,ph,bn,pw,main,pnp,pb,wp
BR024-36216,PH36,PH36 Hex2,L3,C6,176,20,45.2,88,863,41,0.052375435
BR024-36217,PH36,PH36 Hex2,L5,C6,178,23,49.6,,,,
BR024-36218,PH36,PH36 Hex2,L7,C6,143,26,37.6,88,1096,41,0.034306569
BR024-37111,PH37,PH37 F1,L2,C5,175,12,42.7,,,,
BR024-37112,PH37,PH37 F1,L2,C5,230,13,42.4,63,861,62,0.049245064
BR024-37113,PH37,PH37 F1,L4,C5,193,15,42.2,93,890,56,0.04741573
BR024-37114,PH37,PH37 F1,L7,C5,155,17,32.6,,,,
BR024-37215,PH37,PH37 F1,L1,C6,145,16,9,,,,
BR024-37216,PH37,PH37 F1,L3,C6,167,15,36.8,72,827,52,0.044498186
BR024-37217,PH37,PH37 F1,L4,C6,164,17,43.9,96,1016,56,0.043208661
BR024-37218,PH37,PH37 F1,L7,C6,155,17,32.1,,,,
BR024-38111,PH38,PH38 F1,L2,C5,148,12,45.9,105,774,60,0.059302326
BR024-38112,PH38,PH38 F1,L3,C5,168,10,23.3,,,,
BR024-38113,PH38,PH38 F1,L5,C5,138,11,23.9,,,,
BR024-38114,PH38,PH38 F1,L7,C5,155,12,19.9,81,668,51,0.029790419
BR024-38215,PH38,PH38 F1,L1,C6,139,13,27.3,99,1263,90,0.021615202
BR024-38216,PH38,PH38 F1,L3,C6,127,11,38.3,,,,
BR024-38217,PH38,PH38 F1,L5,C6,133,11,28,,,,
BR024-38218,PH38,PH38 F1,L5,C6,173,17,12.4,76,373,21,0.033243968
BR024-39111,PH39,PH39 Hex1,L2,C5,192,24,31.7,,,,
BR024-39112,PH39,PH39 Hex1,L2,C5,170,25,32.4,116,843,32,0.038434164
BR024-39113,PH39,PH39 Hex1,L3,C5,165,21,35.7,,,,
BR024-39114,PH39,PH39 Hex1,L7,C5,144,26,27.3,44,734,27,0.03719346
BR024-39215,PH39,PH39 Hex1,L1,C6,140,20,32.1,,,,
BR024-39216,PH39,PH39 Hex1,L3,C6,177,26,20.6,67,755,28,0.027284768
BR024-39217,PH39,PH39 Hex1,L4,C6,185,25,20.7,13,633,24,0.032701422
BR024-39218,PH39,PH39 Hex1,L7,C6,185,20,32.1,,,,
BR024-40111,PH40,PH40 Hex 2,L2,C5,116,12,34.7,,,,
BR024-40112,PH40,PH40 Hex 2,L3,C5,136,14,30.3,,641,43,0.047269891
BR024-40113,PH40,PH40 Hex 2,L4,C5,132,13,38.1,,,,
BR024-40114,PH40,PH40 Hex 2,L7,C5,150,13,47.7,1,1119,80,0.042627346
BR024-40215,PH40,PH40 Hex 2,L2,C6,164,16,38.9,52,859,51,0.045285215
BR024-40216,PH40,PH40 Hex 2,L3,C6,140,11,36.1,2,679,57,0.053166421
BR024-40217,PH40,PH40 Hex 2,L4,C6,130,13,25.7,,,,
BR024-40218,PH40,PH40 Hex 2,L5,C6,122,14,50.7,,,,
BR024-41111,PH41,PH41  F1,L2,C5,168,18,60.3,45,1052,55,0.057319392
BR024-41112,PH41,PH41  F1,L3,C5,182,23,35.8,40,719,30,0.049791377
BR024-41113,PH41,PH41 F1,L5,C5,170,18,49.8,,,,
BR024-41114,PH41,PH41 F1,L7,C5,149,12,21.5,,,,
BR024-41215,PH41,PH41 F1,L2,C6,155,16,40.2,,,,
BR024-41216,PH41,PH41 F1,L3,C6,156,22,26.8,46,674,29,0.039762611
BR024-41217,PH41,PH41 F1,L5,C6,158,18,51.1,,,,
BR024-41218,PH41,PH41 F1,L7,C6,194,18,54,50,832,44,0.064903846
BR024-42111,PH42,PH42 Hex1,L2,C5,189,12,8.3,68,470,36,0.017659574
BR024-42112,PH42,PH42 Hex1,L3,C5,213,10,20.8,,,,
BR024-42113,PH42,PH42 Hex1,L4,C5,198,11,15.6,44,596,50,0.026174497
BR024-42114,PH42,PH42 Hex1,L7,C5,203,12,10.4,,,,
BR024-42215,PH42,PH42 Hex1,L2,C6,197,19,4,61,243,12,0.016460905
BR024-42216,PH42,PH42 Hex1,L3,C6,174,10,3.9,,,,
BR024-42217,PH42,PH42 Hex1,L5,C6,220,9,17.2,,,,
