code;location;barcode;L;C5;juvenile colour;BBCH51;BBCH61
PH30;1;BR024-30113;L4;C5;P;50;64
PH30;1;BR024-30114;L7;C5;P;55;67
PH30;2;BR024-30215;L1;C6;P;51;63
PH30;2;BR024-30216;L2;C6;P;52;63
PH30;2;BR024-30217;L4;C6;P;55;67
PH30;2;BR024-30218;L7;C6;P;49;64
PH31;1;BR024-31111;L1;C5;G;51;66
PH31;1;BR024-31112;L3;C5;G;47;61
PH31;1;BR024-31113;L4;C5;G;50;66
PH31;1;BR024-31114;L7;C5;G;50;67
PH31;2;BR024-31215;L2;C6;G;50;63
PH31;2;BR024-31216;L3;C6;G;50;67
PH31;2;BR024-31217;L5;C6;G;53;67
PH31;2;BR024-31218;L7;C6;G;49;61
PH32;1;BR024-32111;L1;C5;P;48;62
PH32;1;BR024-32112;L2;C5;P;49;60
PH32;1;BR024-32113;L4;C5;P;53;67
PH32;1;BR024-32114;L5;C5;P;50;64
PH32;2;BR024-32215;L1;C6;P;51;64
PH32;2;BR024-32216;L3;C6;P;50;61
PH32;2;BR024-32217;L5;C6;P;50;62
PH32;2;BR024-32218;L7;C6;P;47;60
PH33;1;BR024-33111;L1;C5;P;42;55
PH33;1;BR024-33112;L2;C5;P;43;53
PH33;1;BR024-33113;L4;C5;P;46;57
PH33;1;BR024-33114;L7;C5;G;44;57
PH33;2;BR024-33215;L1;C6;P;48;62
PH33;2;BR024-33216;L3;C6;G;43;54
PH33;2;BR024-33217;L4;C6;P;46;57
PH33;2;BR024-33218;L5;C6;P;46;57
PH34;1;BR024-34111;L1;C5;P;50;62
PH34;1;BR024-34112;L3;C5;P;52;66
PH34;1;BR024-34113;L5;C5;G;50;64
PH34;1;BR024-34114;L7;C5;P;50;64
PH34;2;BR024-34215;L2;C6;P;46;57
PH34;2;BR024-34216;L3;C6;G;60;72
PH34;2;BR024-34217;L4;C6;P;48;60
PH34;2;BR024-34218;L5;C6;P;50;59
PH35;1;BR024-35111;L1;C5;P;55;74
PH35;1;BR024-35112;L3;C5;P;55;72
PH35;1;BR024-35113;L5;C5;P;54;67
PH35;1;BR024-35114;L7;C5;P;53;74
PH35;2;BR024-35215;L2;C6;P;53;67
PH35;2;BR024-35216;L2;C6;P;52;66
PH35;2;BR024-35217;L4;C6;P;53;67
PH35;2;BR024-35218;L7;C6;P;57;72
PH36;1;BR024-36111;L1;C5;G;50;62
PH36;1;BR024-36112;L2;C5;G;48;62
PH36;1;BR024-36113;L4;C5;G;50;63
PH36;1;BR024-36114;L7;C5;G;50;64
PH36;2;BR024-36215;L1;C6;G;46;60
PH36;2;BR024-36216;L3;C6;G;47;61
PH36;2;BR024-36217;L5;C6;G;50;62
PH36;2;BR024-36218;L7;C6;G;46;60
PH37;1;BR024-37111;L2;C5;G;50;62
PH37;1;BR024-37112;L2;C5;P;47;61
PH37;1;BR024-37113;L4;C5;G;46;60
PH37;1;BR024-37114;L7;C5;P;51;67
PH37;2;BR024-37215;L1;C6;P;46;64
PH37;2;BR024-37216;L3;C6;P;49;61
PH37;2;BR024-37217;L4;C6;P;46;57
PH37;2;BR024-37218;L7;C6;G;52;64
PH38;1;BR024-38111;L2;C5;P;48;60
PH38;1;BR024-38112;L3;C5;P;52;64
PH38;1;BR024-38113;L5;C5;P;46;57
PH38;1;BR024-38114;L7;C5;P;50;60
PH38;2;BR024-38215;L1;C6;P;48;60
PH38;2;BR024-38216;L3;C6;P;48;57
PH38;2;BR024-38217;L5;C6;P;50;61
PH38;2;BR024-38218;L5;C6;P;51;62
PH39;1;BR024-39111;L2;C5;G;50;64
PH39;1;BR024-39112;L2;C5;G;50;66
PH39;1;BR024-39113;L3;C5;G;50;63
PH39;1;BR024-39114;L7;C5;G;48;66
PH39;2;BR024-39215;L1;C6;G;50;65
PH39;2;BR024-39216;L3;C6;G;53;66
PH39;2;BR024-39217;L4;C6;G;50;62
PH39;2;BR024-39218;L7;C6;G;50;62
PH40;1;BR024-40111;L2;C5;P;39;50
PH40;1;BR024-40112;L3;C5;P;37;48
PH40;1;BR024-40113;L4;C5;P;38;50
PH40;1;BR024-40114;L7;C5;P;37;46
PH40;2;BR024-40215;L2;C6;P;39;50
PH40;2;BR024-40216;L3;C6;P;37;54
PH40;2;BR024-40217;L4;C6;P;38;52
PH40;2;BR024-40218;L5;C6;P;37;48
PH41;1;BR024-41113;L5;C5;P;46;59
PH41;1;BR024-41114;L7;C5;P;46;63
PH41;2;BR024-41215;L2;C6;P;46;60
PH41;2;BR024-41216;L3;C6;P;44;62
PH41;2;BR024-41217;L5;C6;P;43;55
PH41;2;BR024-41218;L7;C6;G;46;58
PH41 ;1;BR024-41111;L2;C5;G;46;62
PH41 ;1;BR024-41112;L3;C5;G+P;43;57
PH42;1;BR024-42111;L2;C5;G;67;80
PH42;1;BR024-42112;L3;C5;G;61;
PH42;1;BR024-42113;L4;C5;G;66;
PH42;1;BR024-42114;L7;C5;G;71;80
PH42;2;BR024-42215;L2;C6;G;;
PH42;2;BR024-42216;L3;C6;G;73;79
PH42;2;BR024-42217;L5;C6;G;66;78
PH42;2;BR024-42218;L7;C6;G;62;75
PH43;1;BR024-43111;L2;C5;P;59;72
PH43;1;BR024-43112;L2;C5;P;53;67
PH43;1;BR024-43113;L4;C5;P;63;76
PH43;1;BR024-43114;L7;C5;P;53;67
PH43;2;BR024-43215;L1;C6;P;55;69
PH43;2;BR024-43216;L3;C6;P;62;73
PH43;2;BR024-43217;L4;C6;P;58;72
PH43;2;BR024-43218;L5;C6;P;71;
PH44;1;BR024-44111;L2;C5;P;59;72
PH44;1;BR024-44112;L3;C5;P;48;61
PH44;1;BR024-44113;L4;C5;P;53;73
PH44;1;BR024-44114;L7;C5;P;53;67
PH44;2;BR024-44215;L1;C6;P;54;67
PH44;2;BR024-44216;L3;C6;P;53;66
PH44;2;BR024-44217;L4;C6;P;52;64
PH44;2;BR024-44218;L7;C6;P;53;66
PH45;1;BR024-45111;L2;C5;G;54;68
PH45;1;BR024-45112;L3;C5;P;53;67
PH45;1;BR024-45113;L4;C5;P;50;65
PH45;1;BR024-45114;L5;C5;P;55;70
PH45;2;BR024-45215;L1;C6;P;51;66
PH45;2;BR024-45216;L2;C6;P;55;70
PH45;2;BR024-45217;L4;C6;P;57;71
PH45;2;BR024-45218;L5;C6;P;57;74
PH46;1;BR024-46111;L2;C5;P;50;64
PH46;1;BR024-46112;L3;C5;P;48;62
PH46;1;BR024-46113;L4;C5;P;57;72
PH46;1;BR024-46114;L5;C5;P;55;70
PH46;2;BR024-46215;L1;C6;P;47;60
PH46;2;BR024-46216;L2;C6;P;48;60
PH46;2;BR024-46217;L4;C6;P;46;57
PH46;2;BR024-46218;L7;C6;P;49;64
PH47;1;BR024-47111;L2;C5;G;39;52
PH47;1;BR024-47112;L3;C5;G;40;53
PH47;1;BR024-47113;L4;C5;G;39;50
PH47;1;BR024-47114;L7;C5;G;39;52
PH47;2;BR024-47215;L1;C6;G;36;51
PH47;2;BR024-47216;L3;C6;G;38;49
PH47;2;BR024-47217;L5;C6;G;40;50
PH47;2;BR024-47218;L7;C6;P;40;52
PH48;1;BR024-48111;L2;C5;P;46;55
PH48;1;BR024-48112;L3;C5;G;46;56
PH48;1;BR024-48113;L4;C5;P;44;57
PH48;1;BR024-48114;L7;C5;P;46;61
PH48;2;BR024-48215;L1;C6;P;53;65
PH48;2;BR024-48216;L2;C6;P;48;60
PH48;2;BR024-48217;L4;C6;P;46;57
PH48;2;BR024-48218;L5;C6;P;46;55
PH49;1;BR024-49111;L2;C5;G;44;55
PH49;1;BR024-49112;L3;C5;P;41;54
PH49;1;BR024-49113;L4;C5;P;41;53
PH49;1;BR024-49114;L5;C5;P;40;50
PH49;2;BR024-49215;L1;C6;P;44;55
PH49;2;BR024-49216;L4;C6;G;41;53
PH49;2;BR024-49217;L4;C6;P;40;50
PH49;2;BR024-49218;L7;C6;P;48;63
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
